Tipi i pjates,Emri I Pjates,Pershkrimi ,Cmimi
Pjate e Pare,Fli,Fli eshte nje gatim tjeter tradicional I cili gatuhet ne menyre unike dhe me shtresa.,700
Pjate e Pare,Qofte,"Qoftet jane nje gatim tjeter I cili pergatitet me mish te grire, veze dhe ereza te ndryshme.",70
Pjate e Pare,Kremvice,Kremvicet jane nje tjeter gatim I perhapur te cilat mund te jene me perberje pule ose gjedhi.,90
Pjate e Pare,Patate te skuqura,"Patetet e skuqura jane nje gatim ne te cilin patatet qerohen, priten dhe skuqen ne vaj.",200
Pjate e Pare,Sallate Greke,"Sallate e pergatitur me domate,djathe,sallate,qepe,speca,ullinj,vaj ulliri dhe ereza. ",600
Pjate e Pare,Sallate Jeshile,"Sallate e pergatitur me sallate,qepe,ullinj,limon,djathe dhe ereza.",400
Pjate e Pare,Sallate Rusi,"Sallate e pergatitur me karrota,bizele,patate,kastraveca turshi,veze,uthull,majoneze dhe ereza.",650
Pjate e Pare,Sallate Cezar,"Sallate e pergatitur me sallate,fileto pule,buke e thekur,djathe parmigiano,domate,majoneze,vaj ullir,uthull dhe ereza.",800
Pjate e Pare,Supe Pule,Supa e Pules eshte nje pjate e pare e shijshme.,300
Pjate e Pare,Supe me Perime,Supa me Perime eshte nje pjate e pare e shijshme dhe e shendetshme.,250
Pjate e Pare,Supe Orientale,Supa Orientale eshte nje pjate e pare e shijshme e cila mund te pergatit edhe ne shtepi.,200
Pjate e Pare,Supe me Kerpudha,Supa me Kerpudha eshte nje pjate e pare e shijshme dhe me shije unike.,250
Pjate e Pare,Fokace,Fokace eshte nje pjate e bere nga brumi I pices por anon me shume nga ana e bukes sesa e pices.,250
Pjate e Pare,Fokace e Mbushur,Fokace e Mbushur eshte si nje fokace normale thjesht ka djathe dhe domate brenda.,350
Pjate e Pare,Omlete me proshute dhe djathe,"Omletë me proshutë dhe djathë është një pjatë e shijshme, e përgatitur me proshutë të hollë dhe djathë të grirë",250
Pjate e Pare,Omlete me perime,"Omletë me perime është një pjatë e shijshme, e përgatitur me perime të ndryshme të skuqura si qepë, domate, speca.",20
Pjate e Pare,Veze sy me djathe deleje,Pjatë tradicionale shqiptare e përgatitur duke gatuar vezë në një tigan të vogël dhe shtohet djathë deleje i grirë,200
Pjate e Pare,Karkaleca Deti ne Zgare,Karkaleca Deti në Zgare është një pjatë e shijshme e përgatitur duke pjekur karkale deti mbi një zgare.,500
Pjate e Pare,Karkaleca Deti me Salce Konjaku,Një pjatë e shijshme e përgatitur duke gatuar karkaleca deti me një salcë të bërë me konjak. ,600
Pjate e Pare,Perime te Ziera,"Një pjatë e thjeshtë dhe e shijshme e përgatitur duke zier perime të ndryshme si karrota, brokoli, qepë, piperka.",200
Pjate e Pare,Perime ne Zgare,"Një pjatë e thjeshtë dhe e shijshme qe pergatit perime të ndryshme si karrota, brokoli, qepë, piperka ne zgare.",300
Pjate e Pare,Sallate e Ftohte,"Një pjatë e freskët e përgatitur me perime si domate, krastavac, rrënjë perimesh,të cilat janë të ftohura para se të serviren. ",650
Pjate e Pare,Chicken Fingers,Chicken fingers janë copa të marinuara të mishit të qengjit ose pule të mbështjella në brumë dhe të skuqura.,450
Pjate e Pare,Brusketi me Brum Pice,"Feta Buke te bera me brume pice te shoqeruara me domate mjadanoz, vaj ulliri.",400
Pjate e Pare,Tarator,"Supë e ftohtë me kos, hudhër dhe kastravecë.",150
Pjate e Pare,Salce me hudhër,Salcë e freskët me hudhër dhe kos.,120
Pjate e Pare,Fasule,Fasule të ziera me qepë dhe erëza.,200
Pjate e Pare,Japrak,Fletë vigna të mbushura me oriz dhe perime.,250
Pjate e Pare,Sarma,Fletë lakre të mbushura me oriz dhe perime.,300
Pjate e Pare,Perime të pjekura,Perime të pjekura në furrë me vaj ulliri dhe erëza.,180
Pjate e Pare,Qofte me salcë kosi,Qofte të fërguara me salcë kosi dhe hudhër.,220
Pjate e Pare,Kërpudha të mbushura,Kërpudha të mbushura me djathë dhe perime.,280
Pjate e Pare,Patëllxhanë të mbushur,Patëllxhanë të mbushur me mish dhe perime.,260
Pjate e Pare,Krokante me djathë,Krokante me djathë dhe erëza.,170
Pjate e Pare,Byrek me spinaq,Byrek me spinaq dhe djathë.,190
Pjate e Pare,Byrek me qepe,Byrek me qepë dhe djathë.,210
Pjate e Pare,Byrek me mish,Byrek me mish të grire dhe qepë.,230
Pjate e Pare,Byrek me djathë,Byrek me djathë dhe vezë.,240
Pjate e Pare,Byrek me kunguj,Byrek me kunguj dhe djathë.,270
Pjate e Pare,Byrek me domate,Byrek me domate dhe djathë.,290
Pjate e Pare,Byrek me patate,Byrek me patate dhe qepë.,310
Pjate e Pare,Byrek me speca,Byrek me speca dhe djathë.,320
Pjate e Pare,Byrek me kunguj dhe djathë,Byrek me kunguj dhe djathë të shkrirë.,330
Pjate e Pare,Byrek me spinaq dhe djathë,Byrek me spinaq dhe djathë të shkrirë.,340
Pjate e Pare,Byrek me mish dhe qepe,Byrek me mish të grire dhe qepë.,350
Pjate e Pare,Byrek me mish dhe domate,Byrek me mish dhe domate të freskëta.,360
Pjate e Pare,Byrek me mish dhe speca,Byrek me mish dhe speca të pjekur.,370
Pjate e Pare,Byrek me mish dhe kunguj,Byrek me mish dhe kunguj të freskët.,380
Pjate e Pare,Byrek me mish dhe patate,Byrek me mish dhe patate të pjekura.,390
Pjate Kryesore,Tave Kosi,Tavë Kosi është një pjatë tradicionale shqiptare e përgatitur me mish qengji të pjekur në një salcë të bërë me kos dhe vezë.,600
Pjate Kryesore,Tave Krapi,Tave është një pjatë tradicionale e përgatitur me peshk krap të pjekur në një salcë të shijshme.,900
Pjate Kryesore,Tave Dheu,"Tavë Dheu është një pjatë e gatuar me mish të grirë të pjekur në furë, të shoqëruar me perime dhe kripë.",500
Pjate Kryesore,Patate Furre,Patetet e furres jane nje gatim ne te cilin patetet priten ne menyre kubike dhe piqen ne furre.,400
Pjate Kryesore,Byrek me spinaq dhe djathe,Ky lloj byreku eshte i pergatitur me spinaq dhe djathe,250
Pjate Kryesore,Byrek me Qepe,Ky lloj byreku eshte i pergatitur me qepe.,250
Pjate Kryesore,Byrek me Qumesht,Ky lloj byreku kerkon peta te thara te cilat vendosen ne qumesht dhe i hidhet nje perzierje vezesh siper.,400
Pjate Kryesore,Byreku I Shtepise,Ky lloj Byreku eshte i pergatitur me kunguj dhe ka nje recete unike.,500
Pjate Kryesore,Pastice,Pasticja eshte nje tjeter gatim ne te cilen makaronat e ziera mbulohen me qumesht dhe I hidhet nje perzierje vezesh.,350
Pjate Kryesore,Spaghetti me gjalpe dhe djathe,Spaghetti te pergatitura me gjalpe dhe djathe.,350
Pjate Kryesore,Spaghetti me kime dhe djathe,Spaghetti te pergatitura me kime dhe djathe.,400
Pjate Kryesore,Spaghetti me salce dhe djathe,Spaghetti te pergatitura me salce dhe djathe.,350
Pjate Kryesore,Linguini Fruta Deti,Linguini te pergatitura me Fruta Deti te fresketa.,500
Pjate Kryesore,Linguini Boloneze,Linguini te pergatitura me salcen bolonjeze.,500
Pjate Kryesore,Penne Pana Proshute,Penne te pergatitura me Pana dhe Proshute.,300
Pjate Kryesore,Berxolle Vici me Graniture,Berxolle Vici me graniture eshte nje pjate e cila perdor mishin dhe perime te gatuara vecmas.,900
Pjate Kryesore,Rosto Vici me Graniture,Rosto Vici me graniture eshte nje pjate e cila perdor mishin dhe perime te gatuara vecmas.,950
Pjate Kryesore,Brinje Vici me Graniture,Brinje Vici me graniture eshte nje pjate e cila perdor mishin dhe perime te gatuara vecmas.,1000
Pjate Kryesore,Fileto Vici me Graniture,Fileto Vici me graniture eshte nje pjate e cila perdor mishin dhe perime te gatuara vecmas.,1400
Pjate Kryesore,Fileto Pule me Graniture,Fileto Pule me graniture eshte nje pjate e cila perdor mishin dhe perime te gatuara vecmas.,700
Pjate Kryesore,Zog Fshati me Graniture,Zog Fshati me graniture eshte nje pjate e cila perdor mishin dhe perime te gatuara vecmas. ,1400
Pjate Kryesore,Zog Fshati,Zog Fshati eshte nje gatim ku perdoren zogj te rritur natyralisht.,1000
Pjate Kryesore,Pizza Margherita,"Pizza eshte nje gatim tjeter qe preferohet shume, ne kete rast perdorim vetem salce dhe djathe.",350
Pjate Kryesore,Pizza Marinara,Pizza Marinara eshte si Margherita por perdoret salca Marinara ne vend te asaj normales.,400
Pjate Kryesore,Pizza Proshute,"Pizza e cila permban salce,mozzarella dhe proshute.",500
Pjate Kryesore,Pizza Pikante,"Pizza e njohur ndryshe si Diavolo permban salce,mozzarella dhe sallam pikant",500
Pjate Kryesore,Pizza 4-Stinet,"Pizza 4-Stinet permban salce,mozzarella,kerpudha,karciof,prushte dhe ullinj.",550
Pjate Kryesore,Pizza 4-Djatherat,"Pizza 4-Djatherat permban salce,mozzarella,djathe gouda,gorngonzola dhe kackavall.",550
Pjate Kryesore,Pizza Capricosa,"Pizza Capricosa permban salce,mozzarella,kerpudha,karciof,proshute dhe sallam.",500
Pjate Kryesore,Pizza Pugliese,"Pizza Pugliese permban salce,mozzarella,ullinj dhe qepe.",500
Pjate Kryesore,Pizza Napoli,"Pizza Napoli permban salce,mozzarella,acuge dhe rigon.",500
Pjate Kryesore,Pizza Fshati,"Pizza Fshati permban salce,mozzarella,vaj ullri dhe mish te grire.",550
Pjate Kryesore,Pizza Peperoni,"Pizza Peperoni permban salce,mozzarella,ullinj dhe speca.",500
Pjate Kryesore,Pizza Vegjetariane,"Pizza Vegjetariane permban salce,mozzarella,ullinj,speca,kunguj dhe patellxhana.",600
Pjate Kryesore,Pizza Tonno,"Pizza Tonno permban salce,mozzarella dhe peshk ton.",500
Pjate Kryesore,Lakror,Lakrori eshte nje byrek shqiptar me 2 peta dhe permban speca domate dhe qepe.,500
Pjate Kryesore,Rizoto Perime,Rizoto me perime është një pjatë e gatuar me misër të zier dhe perime të pjekura.,500
Pjate Kryesore,Rizoto Tartuf,"Rizoto me Tartuf është një pjatë e gatuar me tartuf te fresket ose te thate, per nje shije unike.",700
Pjate Kryesore,Rizoto Fruta Deti,"Rizoto me Fruta Deti është një pjatë e gatuar me karkaleca deti, kalamare dhe midhje.",800
Pjate Kryesore,Rizoto Pule,Rizoto me pule është një pjatë e gatuar me copa mishi te pules.,650
Pjate Kryesore,Ravioli me Merlcuc & Krem Bizele,"Një pjatë e rafinuar, e përbërë prej raviolit të mbushur me peshk merluc dhe përzier me një krem bizeleje.",800
Pjate Kryesore,Fileto Peshku ne Zgare,"Një pjatë e shijshme e përgatitur duke pjekur fileto të freskëta të peshkut në zgare, të marinuar zakonisht me vaj ulliri.",1100
Pjate Kryesore,Fileto Salmoni me Krem Karrote,"Një pjatë e shijshme e përgatitur duke pjekur fileto të freskëta salmoni në zgare, e shoqeruar me krem karrote.",1200
Pjate Kryesore,Mix Deti,Mix Deti është një pjatë e shijshme e përgatitur duke kombinuar një lloj të ndryshëm peshqish deti të freskët.,1300
Pjate Kryesore,Salmon i Tymosur,"Salmoni i Tymosur është një pjatë e përgatitur duke tymosur fileto të salmonit, që i jep një shije të veçantë dhe të pasur.",900
Pjate Kryesore,Midhje te Pjekura,"Midhjet të pjekura janë një pjatë delikate, e përgatitur duke pjekur midhjet në furrë me pak vaj ulliri, erëza.",700
Pjate Kryesore,Tavë Elbasani,Mish viçi i pjekur me kos dhe vezë.,600
Pjate Kryesore,Tavë Peshku,Peshk i pjekur me perime dhe salcë.,800
Pjate Kryesore,Tavë me patate,Patate të pjekura me mish dhe erëza.,450
Pjate Kryesore,Tavë me mish viçi,Mish viçi i pjekur me perime dhe salcë.,700
Pjate Kryesore,Tavë me mish pule,Mish pule i pjekur me perime dhe salcë.,650
Pjate Kryesore,Tavë me perime,Perime të pjekura me salcë dhe erëza.,500
Pjate Kryesore,Tavë me kunguj,Kunguj të pjekur me djathë dhe salcë.,550
Pjate Kryesore,Tavë me spinaq,Spinaq i pjekur me vezë dhe djathë.,400
Pjate Kryesore,Tavë me qepe,Qepë të pjekura me mish dhe salcë.,350
Pjate Kryesore,Tavë me domate,Domate të pjekura me mish dhe erëza.,300
Pjate Kryesore,Tavë me speca,Speca të pjekur me mish dhe salcë.,320
Pjate Kryesore,Tavë me patate dhe mish,Patate dhe mish të pjekur me salcë.,480
Pjate Kryesore,Tavë me patate dhe djathë,Patate dhe djathë të pjekur me erëza.,470
Pjate Kryesore,Tavë me patate dhe qepe,Patate dhe qepë të pjekur me salcë.,460
Pjate Kryesore,Tavë me patate dhe domate,Patate dhe domate të pjekur me mish.,440
Pjate Kryesore,Tavë me patate dhe speca,Patate dhe speca të pjekur me salcë.,430
Pjate Kryesore,Tavë me patate dhe kunguj,Patate dhe kunguj të pjekur me djathë.,420
Pjate Kryesore,Tavë me patate dhe spinaq,Patate dhe spinaq të pjekur me vezë.,410
Pjate Kryesore,Tavë me patate dhe perime,Patate dhe perime të pjekur me salcë.,390
Pjate Kryesore,Tavë me patate dhe kërpudha,Patate dhe kërpudha të pjekur me erëza.,380
Pjate Kryesore,Tavë me patate dhe sallam,Patate dhe sallam të pjekur me salcë.,370
Pjate Kryesore,Tavë me patate dhe proshutë,Patate dhe proshutë të pjekur me erëza.,360
Pjate Kryesore,Tavë me patate dhe peshk,Patate dhe peshk të pjekur me salcë.,340
Pjate Kryesore,Tavë me patate dhe fruta deti,Patate dhe fruta deti të pjekur me erëza.,330
Pjate Kryesore,Tavë me patate dhe salcë,Patate të pjekura me salcë dhe erëza.,310
